,target,location,aircraft_damage,make,model,number_of_engines,engine_type,weather_conditions,phase_of_flight,Year,Month,Day,injuries,pax_onboard,fatality_percentage,survived,amateur_built
0,Non-Fatal,1725,0,2962,975,1.0,0,2,1,1982,6,13,1.0,1.0,0.0,1,0
1,Non-Fatal,7690,0,2962,3850,1.0,0,2,2,1982,7,1,2.0,2.0,0.0,2,1
2,Fatal,4220,0,2962,6614,1.0,0,2,0,1982,7,16,1.0,1.0,100.0,0,1
3,Non-Fatal,12732,0,2962,4232,1.0,0,2,6,1982,8,21,0.0,1.0,0.0,1,1
4,Non-Fatal,11329,2,2962,5814,1.0,0,2,5,1982,8,24,0.0,1.0,0.0,1,1
5,Non-Fatal,9899,2,2962,5974,1.0,0,2,9,1982,9,11,2.0,2.0,0.0,2,1
6,Fatal,3680,2,2962,3602,1.0,0,2,0,1982,10,23,1.0,1.0,100.0,0,1
7,Non-Fatal,5823,2,2962,5284,1.0,0,2,9,1990,11,2,0.0,1.0,0.0,1,1
8,Non-Fatal,3361,2,2962,6463,2.0,5,2,9,2007,9,2,0.0,2.0,0.0,2,0
9,Fatal,10886,0,0,3274,1.0,0,2,6,1994,6,8,1.0,1.0,100.0,0,1
10,Non-Fatal,12541,2,1,2674,1.0,0,2,2,1990,5,27,0.0,1.0,0.0,1,1
11,Fatal,10666,0,2,3791,1.0,0,2,6,1992,2,4,1.0,1.0,100.0,0,1
12,Non-Fatal,7481,0,3,3456,1.0,0,2,9,1992,5,30,0.0,1.0,0.0,1,1
13,Non-Fatal,9473,2,4,5282,1.0,0,2,9,1994,8,27,1.0,1.0,0.0,1,1
14,Fatal,7945,0,5,3412,2.0,5,2,9,1999,6,13,1.0,1.0,100.0,0,0
15,Non-Fatal,8889,0,6,3498,1.0,0,2,9,1989,7,30,0.0,1.0,0.0,1,1
16,Non-Fatal,10320,2,7,3998,1.0,0,2,3,1991,9,27,1.0,1.0,0.0,1,1
17,Non-Fatal,11285,2,7,6007,1.0,0,2,6,2000,9,5,0.0,1.0,0.0,1,1
18,Non-Fatal,8933,0,8,4508,1.0,0,2,6,1999,1,17,0.0,1.0,0.0,1,1
19,Non-Fatal,8054,2,9,6285,1.0,0,2,2,1999,5,16,1.0,1.0,0.0,1,1
20,Non-Fatal,7945,0,10,5166,1.0,0,2,1,1992,9,20,2.0,2.0,0.0,2,1
21,Non-Fatal,13042,2,11,2641,1.0,0,2,9,1994,7,24,1.0,1.0,0.0,1,1
22,Non-Fatal,6553,2,12,1516,1.0,0,2,9,1993,3,6,0.0,1.0,0.0,1,1
23,Non-Fatal,9443,2,13,5606,1.0,0,2,9,1989,8,13,1.0,1.0,0.0,1,1
24,Non-Fatal,5906,1,14,1802,2.0,5,2,5,1989,3,11,4.0,5.0,0.0,5,0
25,Non-Fatal,11171,2,14,3808,1.0,0,2,5,1995,10,10,1.0,1.0,0.0,1,1
26,Non-Fatal,3835,2,14,5355,1.0,0,2,5,1999,6,13,0.0,1.0,0.0,1,1
27,Non-Fatal,718,2,14,1491,0.0,5,2,5,1984,7,14,1.0,5.0,0.0,5,0
28,Non-Fatal,4605,0,14,1447,0.0,5,2,2,1990,1,21,1.0,1.0,0.0,1,0
29,Non-Fatal,13672,2,14,1491,2.0,5,2,5,1983,10,8,1.0,6.0,0.0,6,0
30,Non-Fatal,226,2,14,1447,0.0,5,2,0,1989,10,8,0.0,3.0,0.0,3,0
31,Non-Fatal,7091,2,14,1448,2.0,5,2,8,2000,3,18,3.0,3.0,0.0,3,0
32,Non-Fatal,13619,0,14,1448,2.0,5,2,8,1999,7,3,2.0,2.0,0.0,2,0
33,Non-Fatal,629,2,14,1451,2.0,5,2,9,1990,5,27,1.0,5.0,0.0,5,0
34,Fatal,4424,2,14,1448,2.0,5,2,3,1997,12,6,1.0,2.0,50.0,1,0
35,Non-Fatal,11897,2,14,6259,1.0,0,2,9,1994,7,3,1.0,1.0,0.0,1,1
36,Non-Fatal,3996,2,14,2242,1.0,0,2,0,1990,5,19,0.0,1.0,0.0,1,1
37,Fatal,6268,0,14,5863,1.0,0,2,9,1997,11,16,1.0,1.0,100.0,0,1
38,Non-Fatal,4284,2,14,1447,0.0,5,2,5,1982,5,30,0.0,2.0,0.0,2,0
39,Non-Fatal,11493,1,14,6458,0.0,5,1,5,1989,4,27,3.0,4.0,0.0,4,1
40,Non-Fatal,188,1,14,1447,0.0,5,2,5,1986,4,20,1.0,3.0,0.0,3,0
41,Non-Fatal,629,2,14,1372,2.0,5,2,5,1988,1,18,3.0,4.0,0.0,4,0
42,Non-Fatal,2476,2,14,1448,2.0,5,2,5,1988,6,29,1.0,2.0,0.0,2,0
43,Non-Fatal,899,2,15,5165,1.0,0,2,9,1985,12,15,0.0,1.0,0.0,1,1
44,Fatal,13500,0,16,5973,1.0,0,2,9,1993,7,4,2.0,2.0,50.0,1,1
45,Fatal,9422,0,17,3998,1.0,0,2,2,1997,10,12,1.0,1.0,100.0,0,1
46,Non-Fatal,12431,2,18,2269,1.0,0,2,9,1994,8,23,1.0,1.0,0.0,1,1
47,Non-Fatal,10585,0,19,6578,1.0,0,2,9,1994,8,24,2.0,2.0,0.0,2,0
48,Non-Fatal,9473,2,20,2271,1.0,0,2,9,1991,11,17,1.0,1.0,0.0,1,0
49,Non-Fatal,13166,0,21,5083,1.0,0,2,9,1985,8,21,1.0,1.0,0.0,1,1
50,Non-Fatal,13244,0,21,6453,1.0,0,2,6,1996,2,20,1.0,1.0,0.0,1,0
51,Non-Fatal,10914,2,22,6518,1.0,0,2,5,1998,12,29,0.0,3.0,0.0,3,1
52,Non-Fatal,1370,2,23,999,2.0,0,2,5,1999,10,24,0.0,2.0,0.0,2,0
53,Fatal,2155,0,23,1003,2.0,0,2,9,1985,7,27,1.0,1.0,100.0,0,0
54,Non-Fatal,6102,2,23,887,2.0,0,2,5,1987,9,25,0.0,1.0,0.0,1,0
55,Non-Fatal,12381,2,23,5512,1.0,0,2,6,1989,8,3,0.0,1.0,0.0,1,0
56,Non-Fatal,5980,2,23,19,1.0,0,2,9,1996,5,29,0.0,1.0,0.0,1,0
57,Non-Fatal,12577,2,23,1017,2.0,3,2,5,2008,5,30,0.0,2.0,0.0,2,0
58,Fatal,9273,2,23,931,2.0,0,2,0,1995,8,22,1.0,1.0,100.0,0,0
59,Non-Fatal,785,0,23,20,1.0,0,2,9,1990,1,21,0.0,1.0,0.0,1,0
60,Non-Fatal,12441,2,23,5512,1.0,0,2,5,1989,8,10,0.0,1.0,0.0,1,0
61,Non-Fatal,11386,2,23,930,2.0,0,2,5,1983,10,16,0.0,2.0,0.0,2,0
62,Non-Fatal,7528,0,23,20,1.0,0,2,0,1985,6,27,0.0,4.0,0.0,4,0
63,Non-Fatal,9197,2,23,5512,1.0,0,2,6,1995,7,6,0.0,1.0,0.0,1,0
64,Non-Fatal,2400,0,23,2454,1.0,0,2,6,1996,7,1,1.0,1.0,0.0,1,0
65,Non-Fatal,13389,2,23,5512,1.0,0,2,6,1995,7,7,0.0,1.0,0.0,1,0
66,Non-Fatal,13493,2,23,895,2.0,0,2,0,1999,6,12,0.0,2.0,0.0,2,0
67,Non-Fatal,1889,0,23,911,2.0,0,2,2,1987,7,27,2.0,2.0,0.0,2,0
68,Non-Fatal,6863,2,23,1017,2.0,3,2,2,1984,1,20,0.0,1.0,0.0,1,0
69,Non-Fatal,8221,2,23,19,1.0,0,2,9,1987,11,1,0.0,3.0,0.0,3,0
70,Non-Fatal,10164,2,23,1005,2.0,0,2,2,1982,5,15,0.0,2.0,0.0,2,0
71,Non-Fatal,9349,2,23,2460,1.0,0,2,2,1987,7,31,0.0,1.0,0.0,1,0
72,Non-Fatal,13666,2,23,5512,1.0,0,2,2,1995,8,2,0.0,1.0,0.0,1,0
73,Non-Fatal,9189,2,23,20,1.0,0,2,2,1995,8,11,4.0,4.0,0.0,4,0
74,Non-Fatal,5696,2,23,5512,1.0,0,2,6,1995,7,21,1.0,1.0,0.0,1,0
75,Non-Fatal,64,2,23,1046,2.0,0,2,2,1987,9,30,2.0,2.0,0.0,2,0
76,Non-Fatal,12930,0,23,950,1.0,0,2,0,1989,12,11,0.0,1.0,0.0,1,0
77,Non-Fatal,363,2,23,1378,1.0,0,2,2,1983,9,26,1.0,1.0,0.0,1,0
78,Fatal,4206,0,23,887,2.0,0,2,3,1983,11,20,6.0,6.0,100.0,0,0
79,Non-Fatal,8509,2,23,5512,1.0,0,2,6,1983,9,29,0.0,1.0,0.0,1,0
80,Non-Fatal,440,2,23,1015,2.0,3,2,2,1987,9,2,0.0,5.0,0.0,5,0
81,Non-Fatal,1683,2,23,5512,1.0,0,2,9,1999,9,1,0.0,1.0,0.0,1,0
82,Non-Fatal,11031,2,23,19,1.0,0,2,2,1983,11,16,0.0,1.0,0.0,1,0
83,Fatal,7323,0,23,895,2.0,0,2,6,1996,2,11,3.0,3.0,100.0,0,0
84,Non-Fatal,7752,2,23,53,1.0,0,2,8,1995,12,11,0.0,2.0,0.0,2,0
85,Fatal,2372,0,23,911,2.0,0,0,2,1983,11,8,2.0,2.0,100.0,0,0
86,Fatal,1850,0,23,53,1.0,0,2,4,1995,12,23,2.0,2.0,100.0,0,0
87,Non-Fatal,743,2,23,20,1.0,0,2,6,1983,10,15,2.0,2.0,0.0,2,0
88,Non-Fatal,11035,2,23,20,1.0,0,2,9,1990,1,21,0.0,2.0,0.0,2,0
89,Non-Fatal,11712,2,23,1006,2.0,0,2,0,1987,9,2,0.0,7.0,0.0,7,0
90,Non-Fatal,9467,2,23,19,1.0,0,1,2,1983,9,20,1.0,1.0,0.0,1,0
91,Fatal,7983,0,23,882,2.0,0,2,11,1996,5,2,3.0,3.0,100.0,0,0
92,Non-Fatal,4000,2,23,5512,1.0,0,2,9,1983,12,1,1.0,1.0,0.0,1,0
93,Non-Fatal,6338,2,23,1004,2.0,0,0,5,1990,1,18,3.0,3.0,0.0,3,0
94,Non-Fatal,2710,2,23,373,1.0,0,2,0,1996,4,28,0.0,1.0,0.0,1,0
95,Non-Fatal,6124,2,23,5512,1.0,0,2,9,1983,8,30,0.0,1.0,0.0,1,0
96,Non-Fatal,7666,2,23,20,1.0,0,2,5,1996,4,26,0.0,2.0,0.0,2,0
97,Fatal,6068,0,23,1008,2.0,0,2,9,1989,9,10,2.0,2.0,50.0,1,0
98,Fatal,6213,0,23,925,2.0,0,2,6,1995,9,8,2.0,2.0,100.0,0,0
99,Non-Fatal,9273,2,23,928,2.0,0,2,5,1987,9,24,0.0,1.0,0.0,1,0
100,Non-Fatal,9519,2,23,5512,1.0,0,2,6,1985,7,3,0.0,1.0,0.0,1,0
101,Fatal,7842,0,23,53,1.0,0,0,6,1987,8,27,1.0,1.0,100.0,0,0
102,Non-Fatal,11266,0,23,887,2.0,0,2,9,1999,3,18,2.0,2.0,0.0,2,0
103,Non-Fatal,10879,2,23,55,2.0,2,1,5,1984,3,1,0.0,2.0,0.0,2,0
104,Non-Fatal,10424,1,23,1013,2.0,3,2,3,1998,6,29,0.0,3.0,0.0,3,0
105,Non-Fatal,5259,2,23,887,2.0,0,2,9,1988,9,16,1.0,1.0,0.0,1,0
106,Non-Fatal,1328,2,23,5512,1.0,0,2,9,1985,3,6,0.0,1.0,0.0,1,0
107,Non-Fatal,3692,2,23,1015,2.0,3,2,10,1998,7,28,0.0,2.0,0.0,2,0
108,Fatal,606,0,23,20,1.0,0,2,0,1997,10,5,4.0,4.0,75.0,1,0
109,Non-Fatal,4434,2,23,5512,1.0,0,2,6,1984,7,24,0.0,1.0,0.0,1,0
110,Non-Fatal,7849,2,23,1014,2.0,0,2,2,1998,7,29,0.0,2.0,0.0,2,0
111,Fatal,6212,0,23,1502,2.0,0,2,2,1997,9,6,2.0,2.0,100.0,0,0
112,Non-Fatal,12905,2,23,6263,1.0,0,2,9,1984,7,20,0.0,1.0,0.0,1,0
113,Non-Fatal,6284,2,23,1010,2.0,3,2,2,1985,3,6,0.0,5.0,0.0,5,0
114,Fatal,6958,0,23,1017,2.0,3,2,0,1988,5,17,1.0,1.0,100.0,0,0
115,Fatal,10188,0,23,2457,1.0,0,2,6,1984,7,13,1.0,1.0,100.0,0,0
116,Non-Fatal,2911,2,23,882,2.0,0,2,1,1997,7,8,2.0,2.0,0.0,2,0
117,Non-Fatal,1938,0,23,1009,2.0,3,2,3,1984,7,11,1.0,1.0,0.0,1,0
118,Fatal,227,0,23,1046,2.0,0,0,0,1988,12,9,2.0,2.0,100.0,0,0
119,Non-Fatal,3561,2,23,2459,1.0,0,2,6,1997,6,23,0.0,1.0,0.0,1,0
120,Non-Fatal,899,2,23,5512,1.0,0,2,9,1998,8,18,1.0,1.0,0.0,1,0
121,Non-Fatal,338,0,23,5512,1.0,0,2,6,1984,6,30,1.0,1.0,0.0,1,0
122,Non-Fatal,6958,2,23,373,1.0,0,2,0,1997,6,13,0.0,1.0,0.0,1,0
123,Non-Fatal,10822,2,23,2459,1.0,0,2,9,1997,6,12,0.0,1.0,0.0,1,0
124,Non-Fatal,10911,2,23,373,1.0,0,2,0,1997,11,18,0.0,1.0,0.0,1,0
125,Non-Fatal,11113,2,23,1014,2.0,0,2,9,1988,6,16,0.0,1.0,0.0,1,0
126,Fatal,6214,0,23,53,1.0,0,2,6,1997,12,1,3.0,3.0,100.0,0,0
127,Non-Fatal,2852,2,23,5512,1.0,0,2,9,1998,4,4,0.0,1.0,0.0,1,0
128,Non-Fatal,1085,2,23,881,2.0,0,2,9,1998,5,9,0.0,1.0,0.0,1,0
129,Non-Fatal,4049,2,23,876,2.0,0,2,0,1984,11,17,1.0,1.0,0.0,1,0
130,Non-Fatal,4159,2,23,19,1.0,0,2,9,1998,3,26,1.0,1.0,0.0,1,0
131,Fatal,9615,0,23,1017,2.0,3,0,0,1984,12,20,2.0,2.0,50.0,1,0
132,Non-Fatal,4080,2,23,1008,2.0,0,0,9,1998,3,13,1.0,4.0,0.0,4,0
133,Fatal,9170,0,23,2457,1.0,0,2,6,1998,5,31,1.0,1.0,100.0,0,0
134,Fatal,1391,0,23,1010,2.0,3,0,3,1984,9,3,1.0,1.0,100.0,0,0
135,Fatal,5539,0,23,5512,1.0,0,2,0,1998,6,5,1.0,1.0,100.0,0,0
136,Fatal,6948,0,23,1015,2.0,3,1,2,1984,8,25,4.0,4.0,100.0,0,0
137,Fatal,3727,0,23,882,2.0,0,0,1,1998,1,10,3.0,3.0,66.66666666666666,1,0
138,Non-Fatal,11951,2,23,911,2.0,0,2,9,1984,8,14,0.0,1.0,0.0,1,0
139,Fatal,5311,0,23,1006,2.0,0,0,0,1998,6,16,1.0,1.0,100.0,0,0
140,Fatal,5987,0,23,20,1.0,0,2,6,1988,8,23,3.0,3.0,100.0,0,0
141,Fatal,13698,0,23,1017,2.0,3,2,0,1997,12,12,2.0,2.0,100.0,0,0
142,Non-Fatal,7305,2,23,5512,1.0,0,2,6,1998,9,9,0.0,1.0,0.0,1,0
143,Non-Fatal,3824,2,23,373,1.0,0,2,6,1999,3,13,0.0,2.0,0.0,2,0
144,Non-Fatal,12487,2,23,1015,2.0,3,2,1,1996,9,20,0.0,2.0,0.0,2,0
145,Non-Fatal,5448,2,23,931,2.0,0,2,5,1984,4,6,0.0,2.0,0.0,2,0
146,Non-Fatal,1278,2,23,53,1.0,0,2,5,1989,6,3,0.0,2.0,0.0,2,0
147,Fatal,6572,0,23,1004,2.0,0,2,9,1996,9,9,1.0,1.0,100.0,0,0
148,Non-Fatal,8880,2,23,5512,1.0,0,2,6,1995,7,6,0.0,1.0,0.0,1,0
149,Non-Fatal,5467,0,23,5512,1.0,0,2,9,1999,3,19,1.0,1.0,0.0,1,0
150,Non-Fatal,10446,0,23,948,1.0,0,2,6,1996,8,12,0.0,1.0,0.0,1,0
151,Non-Fatal,5217,2,23,5512,1.0,0,2,6,1996,8,11,0.0,1.0,0.0,1,0
152,Fatal,928,0,23,929,2.0,0,2,0,1999,1,30,4.0,4.0,50.0,2,0
153,Non-Fatal,7885,0,23,882,2.0,0,0,0,1984,3,31,1.0,1.0,0.0,1,0
154,Non-Fatal,2193,2,23,373,1.0,0,2,0,1988,1,16,2.0,2.0,0.0,2,0
155,Non-Fatal,13592,0,23,1380,1.0,0,2,6,1984,3,23,1.0,1.0,0.0,1,0
156,Non-Fatal,7948,2,23,20,1.0,0,2,9,1988,1,2,2.0,2.0,0.0,2,0
157,Non-Fatal,9574,0,23,957,1.0,0,2,9,1985,6,17,0.0,1.0,0.0,1,0
158,Non-Fatal,4664,2,23,3953,1.0,0,2,6,1989,7,1,0.0,2.0,0.0,2,0
159,Non-Fatal,6102,2,23,1006,2.0,0,2,8,1987,12,15,0.0,90.0,0.0,89,0
160,Fatal,586,0,23,887,2.0,0,2,0,1999,5,12,1.0,1.0,100.0,0,0
161,Non-Fatal,6013,0,23,5512,1.0,0,2,6,1989,7,3,0.0,1.0,0.0,1,0
162,Non-Fatal,3533,2,23,876,2.0,0,2,5,1999,6,4,0.0,1.0,0.0,1,0
163,Non-Fatal,12705,2,23,55,2.0,2,0,5,1985,6,11,4.0,5.0,0.0,5,0
164,Non-Fatal,2085,2,23,1005,2.0,0,2,2,1984,2,20,1.0,1.0,0.0,1,0
165,Fatal,3565,0,23,999,2.0,0,0,2,1988,2,19,3.0,3.0,100.0,0,0
166,Non-Fatal,3492,0,23,1014,2.0,0,2,9,1996,10,19,1.0,1.0,0.0,1,0
167,Non-Fatal,2677,2,23,5512,1.0,0,2,6,1989,2,8,0.0,1.0,0.0,1,0
168,Non-Fatal,3005,2,23,896,2.0,0,2,9,1989,2,16,0.0,4.0,0.0,4,0
169,Non-Fatal,6813,0,23,5512,1.0,0,2,2,1985,4,10,0.0,1.0,0.0,1,0
170,Fatal,9467,0,23,1000,2.0,0,2,1,1998,10,1,1.0,1.0,100.0,0,0
171,Non-Fatal,3155,2,23,5512,1.0,0,2,9,1984,6,11,0.0,1.0,0.0,1,0
172,Non-Fatal,6325,2,23,19,1.0,0,2,5,1997,4,7,0.0,1.0,0.0,1,0
173,Non-Fatal,9939,2,23,5439,1.0,0,2,6,1984,6,10,0.0,1.0,0.0,1,0
174,Non-Fatal,1567,2,23,925,2.0,0,2,9,1988,4,11,1.0,1.0,0.0,1,0
175,Non-Fatal,4253,0,23,2458,1.0,0,2,0,1985,4,30,1.0,1.0,0.0,1,0
176,Non-Fatal,9756,2,23,1015,2.0,3,2,2,1996,10,15,0.0,4.0,0.0,4,0
177,Non-Fatal,3172,2,23,5512,1.0,0,2,6,1997,3,21,0.0,1.0,0.0,1,0
178,Non-Fatal,4711,2,23,5512,1.0,0,2,6,1985,5,7,0.0,1.0,0.0,1,0
179,Non-Fatal,1400,2,23,1495,1.0,0,2,5,1998,10,26,0.0,2.0,0.0,2,0
180,Non-Fatal,8181,2,23,53,1.0,0,2,0,1984,5,28,0.0,2.0,0.0,2,0
181,Non-Fatal,8836,1,23,1004,2.0,0,2,11,1988,3,14,0.0,2.0,0.0,2,0
182,Non-Fatal,11573,2,23,1014,2.0,0,2,2,1989,4,5,1.0,4.0,0.0,4,0
183,Fatal,7375,0,23,1012,2.0,3,0,0,1996,11,30,1.0,1.0,100.0,0,0
184,Fatal,11482,0,23,1006,2.0,0,1,3,1988,4,8,2.0,2.0,100.0,0,0
185,Fatal,4517,0,23,876,2.0,0,0,9,1999,12,22,2.0,2.0,100.0,0,0
186,Non-Fatal,7119,2,23,20,1.0,0,2,2,1988,7,15,0.0,1.0,0.0,1,0
187,Non-Fatal,1434,2,23,53,1.0,0,2,2,1993,7,21,2.0,2.0,0.0,2,0
188,Non-Fatal,5555,2,23,5512,1.0,0,2,6,1993,7,17,0.0,1.0,0.0,1,0
189,Non-Fatal,921,0,23,999,2.0,0,1,8,1982,11,15,0.0,2.0,0.0,2,0
190,Non-Fatal,10557,2,23,53,1.0,0,2,4,1986,5,4,0.0,4.0,0.0,4,0
191,Non-Fatal,10361,0,23,19,1.0,0,2,9,1982,10,17,3.0,3.0,0.0,3,0
192,Non-Fatal,7427,2,23,999,2.0,0,2,5,1993,5,16,2.0,4.0,0.0,4,0
193,Fatal,157,0,23,911,2.0,0,0,1,1982,9,26,3.0,3.0,100.0,0,1
194,Non-Fatal,7139,0,23,911,2.0,0,2,8,1986,11,2,0.0,1.0,0.0,1,0
195,Non-Fatal,287,2,23,5512,1.0,0,2,5,1986,5,9,0.0,1.0,0.0,1,0
196,Non-Fatal,3955,2,23,53,1.0,0,2,0,1982,9,10,0.0,4.0,0.0,4,0
197,Non-Fatal,1723,0,23,53,1.0,0,2,2,1993,4,9,2.0,2.0,0.0,2,0
198,Non-Fatal,10925,0,23,5946,1.0,0,2,6,1993,4,7,1.0,1.0,0.0,1,0
199,Non-Fatal,9990,2,23,1012,2.0,3,2,2,1982,9,6,0.0,3.0,0.0,3,0
200,Fatal,4735,0,23,1006,2.0,0,2,0,1986,5,9,1.0,1.0,100.0,0,0
201,Non-Fatal,8191,2,23,63,1.0,0,2,0,1982,9,6,0.0,2.0,0.0,2,0
202,Non-Fatal,11960,0,23,5512,1.0,0,2,6,1986,5,14,0.0,1.0,0.0,1,0
203,Non-Fatal,3117,2,23,1019,2.0,3,2,0,1991,5,23,0.0,1.0,0.0,1,0
204,Non-Fatal,12784,2,23,19,1.0,0,2,2,1993,7,27,0.0,1.0,0.0,1,0
205,Non-Fatal,13649,0,23,20,1.0,0,2,5,1993,7,27,0.0,2.0,0.0,2,0
206,Non-Fatal,3193,2,23,876,2.0,0,0,2,1983,1,17,0.0,2.0,0.0,2,0
207,Fatal,6647,0,23,1017,2.0,3,0,1,1993,9,27,2.0,2.0,100.0,0,0
208,Non-Fatal,7885,2,23,1017,2.0,3,0,0,1987,1,7,2.0,6.0,0.0,6,0
209,Fatal,4767,0,23,5439,1.0,0,0,6,1991,4,14,1.0,1.0,100.0,0,0
210,Non-Fatal,4998,0,23,887,2.0,0,2,2,1986,12,12,1.0,1.0,0.0,1,0
211,Non-Fatal,6491,0,23,5512,1.0,0,2,9,1982,5,30,0.0,1.0,0.0,1,0
212,Non-Fatal,1108,2,23,1017,2.0,3,2,3,1993,8,26,0.0,2.0,0.0,2,0
213,Non-Fatal,760,2,23,999,2.0,0,2,5,1986,12,3,0.0,1.0,0.0,1,0
214,Fatal,6985,0,23,930,2.0,0,2,0,1982,11,20,3.0,3.0,100.0,0,0
215,Non-Fatal,3721,2,23,5512,1.0,0,2,9,1993,8,4,0.0,1.0,0.0,1,0
216,Non-Fatal,579,0,23,1011,2.0,3,0,2,1982,11,20,2.0,2.0,0.0,2,0
217,Non-Fatal,3084,2,23,2459,1.0,0,2,9,1986,5,20,0.0,1.0,0.0,1,0
218,Non-Fatal,5703,2,23,887,2.0,0,2,9,1991,7,29,0.0,1.0,0.0,1,0
219,Fatal,11343,0,23,887,2.0,0,2,6,1991,7,31,2.0,2.0,100.0,0,0
220,Fatal,11343,0,23,887,2.0,0,2,6,1991,7,31,2.0,2.0,100.0,0,0
221,Non-Fatal,1337,2,23,1014,2.0,0,2,9,1991,11,23,3.0,3.0,0.0,3,0
222,Non-Fatal,10498,2,23,2459,1.0,0,2,6,1986,8,5,0.0,1.0,0.0,1,0
223,Non-Fatal,475,2,23,2461,1.0,0,2,6,1986,8,4,0.0,1.0,0.0,1,0
224,Non-Fatal,10677,2,23,1017,2.0,3,2,5,1991,12,13,0.0,8.0,0.0,8,0
225,Non-Fatal,4710,0,23,5512,1.0,0,2,6,1982,7,14,0.0,1.0,0.0,1,0
226,Fatal,7385,0,23,928,2.0,0,2,2,1992,7,23,4.0,4.0,100.0,0,0
227,Non-Fatal,1221,2,23,930,2.0,0,2,2,1992,1,6,1.0,1.0,0.0,1,0
228,Non-Fatal,3061,2,23,19,1.0,0,2,2,1982,7,4,0.0,1.0,0.0,1,0
229,Non-Fatal,4002,2,23,19,1.0,0,2,5,1982,6,28,0.0,1.0,0.0,1,0
230,Non-Fatal,5136,0,23,2459,1.0,0,2,6,1992,7,3,0.0,1.0,0.0,1,0
231,Fatal,10473,0,23,895,2.0,0,2,1,1992,2,6,1.0,1.0,100.0,0,0
232,Non-Fatal,3308,0,23,5439,1.0,0,2,9,1986,7,28,0.0,1.0,0.0,1,0
233,Fatal,3303,0,23,5439,1.0,0,2,6,1992,3,8,1.0,1.0,100.0,0,0
234,Non-Fatal,3460,2,23,929,2.0,0,2,9,1986,6,14,1.0,4.0,0.0,4,0
235,Fatal,2769,0,23,19,1.0,0,0,0,1986,7,16,1.0,1.0,100.0,0,0
236,Fatal,6572,0,23,5512,1.0,0,2,9,1982,6,21,1.0,1.0,100.0,0,0
237,Non-Fatal,9902,0,23,2458,1.0,0,2,6,1986,7,12,1.0,1.0,0.0,1,0
238,Non-Fatal,12689,2,23,5512,1.0,0,2,9,1986,6,24,0.0,1.0,0.0,1,0
239,Non-Fatal,3710,2,23,882,2.0,0,0,2,1986,8,7,0.0,1.0,0.0,1,0
240,Non-Fatal,4961,2,23,882,2.0,0,2,9,1986,6,8,0.0,4.0,0.0,4,0
241,Non-Fatal,3831,1,23,876,2.0,0,2,9,1993,3,7,0.0,7.0,0.0,7,0
242,Non-Fatal,3564,2,23,61,1.0,0,2,8,1986,9,17,0.0,2.0,0.0,2,0
243,Non-Fatal,586,0,23,880,2.0,0,2,2,1991,8,4,4.0,4.0,0.0,4,0
244,Non-Fatal,10520,2,23,19,1.0,0,2,2,1986,9,13,0.0,3.0,0.0,3,0
245,Non-Fatal,3798,2,23,19,1.0,0,2,3,1986,5,26,2.0,2.0,0.0,2,0
246,Non-Fatal,12057,2,23,882,2.0,0,0,0,1993,1,11,1.0,1.0,0.0,1,0
247,Non-Fatal,10134,2,23,19,1.0,0,2,0,1986,8,31,0.0,2.0,0.0,2,0
248,Non-Fatal,1085,2,23,1503,2.0,0,2,9,1992,12,29,0.0,1.0,0.0,1,0
249,Fatal,6817,0,23,1006,2.0,0,1,1,1992,12,25,1.0,1.0,100.0,0,0
250,Non-Fatal,7640,2,23,882,2.0,0,0,1,1992,11,23,1.0,1.0,0.0,1,0
251,Non-Fatal,10807,2,23,895,2.0,0,2,5,1982,8,12,0.0,4.0,0.0,4,0
252,Non-Fatal,9939,2,23,5439,1.0,0,2,6,1986,5,31,0.0,1.0,0.0,1,0
253,Fatal,6403,0,23,5512,1.0,0,2,6,1986,6,5,1.0,1.0,100.0,0,0
254,Fatal,1876,0,23,19,1.0,0,0,2,1991,10,5,1.0,1.0,100.0,0,0
255,Fatal,5276,2,23,999,2.0,0,2,10,1992,10,6,2.0,2.0,50.0,1,0
256,Non-Fatal,9493,2,23,19,1.0,0,2,11,1992,9,15,1.0,1.0,0.0,1,0
257,Non-Fatal,187,0,23,1006,2.0,0,2,2,1982,8,1,0.0,1.0,0.0,1,0
258,Fatal,3350,0,23,1006,2.0,0,2,2,1986,8,8,1.0,1.0,100.0,0,0
259,Non-Fatal,9574,0,23,5512,1.0,0,2,6,1993,11,18,1.0,1.0,0.0,1,0
260,Non-Fatal,9302,2,23,1496,1.0,0,2,0,1993,10,26,1.0,1.0,0.0,1,0
261,Non-Fatal,1363,2,23,1032,2.0,0,2,0,2000,6,4,0.0,4.0,0.0,4,0
262,Non-Fatal,4041,2,23,2457,1.0,0,2,9,1983,6,11,0.0,1.0,0.0,1,0
263,Fatal,8108,0,23,1006,2.0,0,2,2,1983,6,2,2.0,2.0,100.0,0,0
264,Fatal,11658,0,23,1018,2.0,3,0,1,1994,10,8,1.0,1.0,100.0,0,0
265,Fatal,3775,0,23,925,2.0,0,1,2,1994,10,5,1.0,1.0,100.0,0,0
266,Non-Fatal,516,2,23,5512,1.0,0,2,6,1994,10,5,0.0,1.0,0.0,1,0
267,Non-Fatal,7531,0,23,882,2.0,0,2,9,1987,7,13,1.0,1.0,0.0,1,0
