,target,location,aircraft_damage,make,model,number_of_engines,engine_type,weather_conditions,phase_of_flight,Year,Month,Day,injuries,pax_onboard,fatality_percentage,survived,amateur_built
24848,Non-Fatal,4464,2,500,6347,1.0,0,2,2,1987,6,1,2.0,2.0,0.0,2,0
24849,Non-Fatal,2263,2,500,115,1.0,0,2,5,1990,8,25,0.0,1.0,0.0,1,0
24850,Non-Fatal,3862,2,500,313,1.0,0,2,3,1982,6,23,0.0,2.0,0.0,2,0
24851,Non-Fatal,9477,2,500,177,1.0,0,2,0,1990,8,24,1.0,1.0,0.0,1,0
24852,Non-Fatal,13385,2,500,215,1.0,0,2,10,1984,6,7,0.0,1.0,0.0,1,0
24853,Non-Fatal,6207,2,500,138,1.0,0,2,2,1990,8,25,0.0,2.0,0.0,2,0
24854,Non-Fatal,1577,2,500,2309,1.0,0,2,2,1987,6,1,0.0,2.0,0.0,2,0
24855,Non-Fatal,8880,0,500,471,1.0,0,2,2,1984,12,23,1.0,1.0,0.0,1,0
24856,Fatal,3449,0,500,6149,1.0,0,1,2,1983,12,7,1.0,1.0,100.0,0,0
24857,Non-Fatal,5292,2,500,115,1.0,0,0,2,1983,7,7,1.0,1.0,0.0,1,0
24858,Non-Fatal,9408,0,500,139,1.0,0,0,9,1987,6,2,2.0,2.0,0.0,2,0
24859,Non-Fatal,4677,2,500,139,1.0,0,2,5,1990,8,24,0.0,1.0,0.0,1,0
24860,Non-Fatal,3001,2,500,6148,1.0,0,2,5,1987,6,3,0.0,1.0,0.0,1,0
24861,Non-Fatal,363,2,500,133,1.0,0,2,9,1987,6,1,0.0,2.0,0.0,2,0
24862,Non-Fatal,12541,2,500,212,1.0,0,2,9,1984,12,23,0.0,1.0,0.0,1,0
24863,Non-Fatal,5670,0,500,332,1.0,0,2,6,1990,8,23,0.0,1.0,0.0,1,0
24864,Non-Fatal,13221,2,500,639,2.0,0,0,2,1983,12,8,1.0,1.0,0.0,1,0
24865,Non-Fatal,13531,0,500,139,1.0,0,0,2,1983,12,10,2.0,2.0,0.0,2,0
24866,Non-Fatal,6324,2,500,296,1.0,0,2,5,1990,8,19,0.0,1.0,0.0,1,0
24867,Non-Fatal,11926,2,500,115,1.0,0,2,8,1983,7,6,1.0,3.0,0.0,3,0
24868,Non-Fatal,8988,2,500,897,2.0,1,2,5,1986,1,15,0.0,3.0,0.0,3,0
24869,Non-Fatal,33,2,500,327,1.0,0,2,0,1982,6,25,0.0,1.0,0.0,1,0
24870,Fatal,9261,2,500,222,1.0,0,0,2,1990,8,19,2.0,2.0,100.0,0,0
24871,Non-Fatal,13032,0,500,228,1.0,0,0,2,1983,12,10,2.0,3.0,0.0,3,0
24872,Non-Fatal,1441,2,500,210,1.0,0,2,9,1990,8,19,5.0,5.0,0.0,5,0
24873,Non-Fatal,7438,2,500,212,1.0,0,2,5,1987,6,6,0.0,1.0,0.0,1,0
24874,Non-Fatal,5637,2,500,137,1.0,0,2,2,1987,6,6,0.0,2.0,0.0,2,0
24875,Non-Fatal,12223,0,500,622,2.0,0,2,9,1984,12,25,4.0,4.0,0.0,4,0
24876,Non-Fatal,9369,2,500,1413,1.0,0,2,5,1982,6,26,0.0,1.0,0.0,1,0
24877,Fatal,1319,0,500,6150,1.0,0,0,6,1984,12,25,5.0,5.0,60.0,2,0
